City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Dingle,PH,10.9995,122.6711,75.7,91,49,2.24,scattered clouds
133,Henties Bay,NA,-22.116,14.2845,60.31,82,1,11.12,clear sky
134,Rawson,AR,-43.3002,-65.1023,78.69,24,0,10.67,clear sky
135,Oranjestad,AW,12.524,-70.027,85.95,66,40,25.32,scattered clouds
136,Frolishchi,RU,56.4211,42.6533,35.04,72,99,3.15,overcast clouds
137,Mahebourg,MU,-20.4081,57.7,75.49,88,75,10.36,light intensity shower rain
138,Porto Novo,BJ,6.4965,2.6036,85.82,75,19,9.48,few clouds
139,Bandarbeyla,SO,9.4942,50.8122,82.67,81,80,11.18,broken clouds
140,Ikongo,MG,-21.8833,47.4333,70.45,99,60,0.74,broken clouds
141,Pimentel,PE,-6.8367,-79.9342,73.69,64,0,16.11,clear sky
142,Tessalit,ML,20.1986,1.0114,87.06,10,10,15.32,clear sky
143,Qasigiannguit,GL,68.8193,-51.1922,14.25,81,26,1.19,scattered clouds
144,Nieuw Amsterdam,SR,5.8833,-55.0833,82.42,79,40,8.05,light rain
145,Kasongo-Lunda,CD,-6.4667,16.8167,70.75,98,100,2.48,overcast clouds
146,Miranda,CO,3.2499,-76.2281,86.65,72,98,2.35,overcast clouds
147,Olafsvik,IS,64.8945,-23.7142,45.14,90,100,23.22,light rain
148,East London,ZA,-33.0153,27.9116,59.94,94,75,8.05,light rain
149,Voi,KE,-3.3945,38.563,75.83,77,86,9.51,overcast clouds
150,Bafilo,TG,9.35,1.2667,82.8,51,95,3.02,light rain
151,Torrox,ES,36.7579,-3.9523,69.85,49,4,1.01,clear sky
152,Belmonte,BR,-15.8631,-38.8828,84.31,74,26,13.69,scattered clouds
153,Bonthe,SL,7.5264,-12.505,82.72,69,45,11.36,scattered clouds
154,Atar,MR,20.5169,-13.0499,95.5,6,0,10.6,clear sky
155,Bonwapitse,BW,-23.0766,26.7037,78.06,32,70,3.56,broken clouds
156,Faya,SA,18.3851,42.4509,69.91,39,14,3.62,few clouds
157,Port Elizabeth,ZA,-33.918,25.5701,61.11,67,20,5.75,few clouds
158,Nanortalik,GL,60.1432,-45.2371,27.1,69,99,6.91,overcast clouds
159,Baiao,BR,-2.7906,-49.6717,83.34,81,95,3.85,overcast clouds
160,Cacequi,BR,-29.8836,-54.825,66.74,51,0,7.27,clear sky
161,Torbay,CA,47.6666,-52.7314,43.75,62,75,10.36,broken clouds
162,Ambilobe,MG,-13.2,49.05,77.16,79,27,5.7,scattered clouds
163,Canutama,BR,-6.5339,-64.3831,83.95,71,96,4.25,overcast clouds
164,Calama,CL,-22.4667,-68.9333,70.29,12,0,19.57,clear sky
165,Linhares,BR,-19.3911,-40.0722,76.05,69,98,13.22,overcast clouds
166,Shorewood,US,41.52,-88.2017,55.51,37,100,14.97,overcast clouds
167,Geraldton,AU,-28.7667,114.6,63.01,94,100,0.0,overcast clouds
168,Porto Seguro,BR,-16.4497,-39.0647,86.52,79,40,10.36,scattered clouds
169,Lodi,US,38.1302,-121.2725,63.37,71,72,3.0,broken clouds
170,Pueblo Nuevo,MX,23.3833,-105.3833,78.26,7,64,7.67,broken clouds
171,Monte Alegre,BR,-2.0078,-54.0692,87.01,59,95,4.25,overcast clouds
172,Tasiilaq,GL,65.6145,-37.6368,35.76,94,100,11.72,overcast clouds
173,Mahajanga,MG,-15.7167,46.3167,83.61,66,13,12.41,few clouds
174,Rocha,UY,-34.4833,-54.3333,67.82,58,85,9.64,overcast clouds
175,Kruisfontein,ZA,-34.0033,24.7314,58.89,59,100,8.1,overcast clouds
176,Caaguazu,PY,-25.45,-56.0167,68.61,52,0,4.61,clear sky
177,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.15,77,92,2.95,overcast clouds
178,Humaita,BR,-7.5061,-63.0208,83.41,78,99,2.98,overcast clouds
179,Mezhova,UA,48.2532,36.7347,50.36,70,49,7.43,scattered clouds
180,Balkhash,KZ,46.844,74.9804,49.12,37,0,12.24,clear sky
181,Longyearbyen,SJ,78.2186,15.6401,30.04,69,100,6.91,overcast clouds
182,Locri,IT,38.2414,16.2623,65.32,68,100,2.46,overcast clouds
183,La Asuncion,VE,11.0333,-63.8628,83.93,65,81,20.71,broken clouds
184,Manta,EC,-0.95,-80.7333,82.18,78,0,10.36,clear sky
185,Sovik,NO,65.9333,12.4667,45.64,44,100,9.4,overcast clouds
186,Sakakah,SA,29.9697,40.2064,78.37,17,0,10.13,clear sky
187,Mehriz,IR,31.5917,54.4318,75.7,33,100,2.66,overcast clouds
188,Kallifitos,GR,41.1667,24.2167,59.92,73,11,1.5,few clouds
189,Likasi,CD,-10.9814,26.7333,65.12,96,98,3.04,light rain
190,Barra Patuca,HN,15.8,-84.2833,84.24,66,40,12.03,scattered clouds
191,Traverse City,US,44.7631,-85.6206,35.73,60,100,23.02,overcast clouds
192,Glens Falls,US,43.3095,-73.644,65.01,25,20,12.66,few clouds
193,Peniche,PT,39.3558,-9.3811,71.08,82,62,12.28,broken clouds
194,Sechura,PE,-5.5569,-80.8222,80.83,53,32,13.96,scattered clouds
195,Vila Velha,BR,-20.3297,-40.2925,80.55,63,0,19.57,clear sky
196,Midland,US,31.9974,-102.0779,86.81,23,0,17.27,clear sky
197,Kautokeino,NO,69.0125,23.0412,17.92,90,55,3.53,broken clouds
198,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,82,56,11.16,light rain
199,Oranjemund,NA,-28.55,16.4333,57.07,83,0,21.34,clear sky
200,Vryburg,ZA,-26.9566,24.7284,67.44,54,58,13.18,light rain
201,Maniitsoq,GL,65.4167,-52.9,23.7,57,92,9.37,overcast clouds
202,Kargasok,RU,59.0556,80.8572,39.81,100,100,8.3,overcast clouds
203,Valdivia,CL,-39.8142,-73.2459,55.49,54,68,2.57,broken clouds
204,Colares,PT,38.7992,-9.4469,74.88,60,0,12.66,clear sky
205,Souillac,MU,-20.5167,57.5167,75.58,88,75,10.36,light intensity shower rain
206,Narsaq,GL,60.9167,-46.05,32.22,60,81,2.86,broken clouds
207,Maxixe,MZ,-23.8597,35.3472,80.42,94,20,9.22,few clouds
208,Pauini,BR,-7.7136,-66.9764,77.31,90,99,1.23,overcast clouds
209,Calamar,CO,10.2511,-74.9146,99.03,35,96,6.85,overcast clouds
210,Nizhniy Odes,RU,63.6445,54.856,26.38,82,100,11.14,overcast clouds
211,Verkhnetulomskiy,RU,68.6073,31.7962,28.53,98,73,3.6,light snow
212,Carlisle,US,40.2015,-77.1889,69.08,22,1,4.0,clear sky
213,Chapais,CA,49.7834,-74.8492,38.98,54,92,14.14,overcast clouds
214,Montepuez,MZ,-13.1256,38.9997,70.02,98,10,4.59,clear sky
215,Cofradia,HN,15.4,-88.15,93.92,46,61,3.6,broken clouds
216,Vardo,NO,70.3705,31.1107,33.42,82,70,11.61,light snow
217,Hattiesburg,US,31.3271,-89.2903,79.12,47,75,11.5,broken clouds
218,Raga,SS,8.4596,25.678,79.79,66,100,12.95,overcast clouds
219,Camacha,PT,33.0833,-16.3333,62.02,72,20,13.8,few clouds
220,Kutum,SD,14.2,24.6667,81.7,7,57,9.8,broken clouds
221,Tres Arroyos,AR,-38.3739,-60.2798,67.95,39,0,14.27,clear sky
222,Saint-Augustin,CA,51.226,-58.6502,32.97,97,90,5.59,overcast clouds
223,Mweka,CD,-4.85,21.5667,69.96,98,96,1.66,moderate rain
224,Lipari,IT,38.4674,14.954,66.27,69,100,11.32,overcast clouds
225,Oudtshoorn,ZA,-33.5907,22.2014,52.16,72,92,4.76,overcast clouds
226,Koungou,YT,-12.7336,45.2042,83.91,79,0,8.05,clear sky
227,Newport,GB,51.5877,-2.9984,68.11,68,22,4.56,few clouds
228,Maniwaki,CA,46.3834,-75.966,50.38,34,75,13.8,broken clouds
229,Quelimane,MZ,-17.8786,36.8883,82.35,89,20,10.36,few clouds
230,Irtyshskiy,RU,58.3333,68.1333,54.25,67,100,11.83,overcast clouds
231,Port-Gentil,GA,-0.7193,8.7815,80.15,80,100,2.89,overcast clouds
232,Ayagoz,KZ,47.9714,80.4392,44.71,27,0,8.28,clear sky
233,Hendaye,FR,43.3717,-1.7738,58.95,87,100,4.61,overcast clouds
234,Kondinskoye,RU,59.6481,67.41,40.77,99,100,6.29,overcast clouds
235,Abnub,EG,27.2696,31.1511,80.82,11,1,11.41,clear sky
236,Yako,BF,12.9667,-2.2667,98.94,22,100,4.88,overcast clouds
237,Alta Floresta,BR,-9.8756,-56.0861,93.02,59,75,2.3,broken clouds
238,Mecca,SA,21.4267,39.8261,84.34,31,22,5.7,few clouds
239,Ilulissat,GL,69.2167,-51.1,14.02,57,75,5.75,light shower snow
240,Pachora,IN,20.6667,75.35,90.03,20,1,8.25,clear sky
241,Karuzi,BI,-3.125,30.1333,62.65,95,100,2.19,moderate rain
242,Belovo,RU,54.4165,86.2976,44.17,74,14,5.48,few clouds
243,Klaksvik,FO,62.2266,-6.589,49.12,99,100,13.78,overcast clouds
244,Hvide Sande,DK,56.0045,8.1294,47.08,73,100,9.4,overcast clouds
245,Salto Del Guaira,PY,-24.0625,-54.3069,71.71,56,0,4.74,clear sky
246,Dibulla,CO,11.2725,-73.3091,88.75,60,83,11.01,broken clouds
247,Beloha,MG,-25.1667,45.05,78.75,71,95,3.36,overcast clouds
248,Hobyo,SO,5.3505,48.5268,83.5,67,73,11.65,broken clouds
249,Igarka,RU,67.4667,86.5833,22.32,95,99,8.75,overcast clouds
250,Agadir,MA,30.4202,-9.5982,79.25,34,57,7.25,broken clouds
251,Kitob,UZ,39.0843,66.8332,68.99,32,6,5.73,clear sky
252,Kuvandyk,RU,51.4781,57.3552,48.88,63,17,13.18,few clouds
253,Gambissara,SN,13.2382,-14.3108,103.24,8,19,4.97,few clouds
254,Pokhara,NP,28.2333,83.9833,72.41,21,22,8.05,few clouds
255,Saint-Pierre,RE,-21.3393,55.4781,78.48,76,20,17.27,few clouds
256,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,59,96,23.38,overcast clouds
257,Itarema,BR,-2.9248,-39.9167,84.36,70,77,9.48,broken clouds
258,Abatskoye,RU,56.2875,70.4555,58.05,38,97,13.69,overcast clouds
259,Rampur,IN,28.8167,79.0333,83.66,13,1,5.95,clear sky
260,Oriximina,BR,-1.7656,-55.8661,81.84,83,100,4.94,overcast clouds
261,Kashary,RU,49.04,41.0056,50.92,55,19,2.17,few clouds
262,Asheville,US,35.6009,-82.554,70.11,24,0,5.99,clear sky
263,Pisco,PE,-13.7,-76.2167,72.01,64,0,9.22,clear sky
264,Paita,PE,-5.0892,-81.1144,75.51,67,38,16.24,scattered clouds
265,Mana,GF,5.6592,-53.7767,82.15,71,100,9.98,overcast clouds
266,Rincon,US,32.296,-81.2354,77.86,38,20,11.5,few clouds
267,Leshukonskoye,RU,64.8989,45.7622,19.31,94,57,4.29,broken clouds
268,Itambe,BR,-15.245,-40.6244,89.76,44,58,0.65,broken clouds
269,Havoysund,NO,70.9963,24.6622,37.63,98,100,25.66,light rain
270,Trelew,AR,-43.249,-65.3051,81.88,17,0,11.65,clear sky
271,Bathsheba,BB,13.2167,-59.5167,84.81,65,40,20.71,scattered clouds
272,Mirpur Mathelo,PK,28.0227,69.5489,91.02,5,0,8.84,clear sky
273,Guarapari,BR,-20.6667,-40.4975,77.9,62,93,19.26,overcast clouds
274,Andradina,BR,-20.8961,-51.3794,80.78,47,19,9.42,few clouds
275,Caravelas,BR,-17.7125,-39.2481,77.74,88,73,15.52,broken clouds
276,Salinas,US,36.6777,-121.6555,61.99,74,75,6.91,broken clouds
277,Lagoa,PT,39.05,-27.9833,58.37,76,86,19.24,light rain
278,Paulo Afonso,BR,-9.4061,-38.2147,101.91,21,26,4.47,scattered clouds
279,Ferkessedougou,CI,9.6,-5.2,88.74,46,100,6.71,light rain
280,Pushchino,RU,54.8339,37.6264,45.34,87,100,5.55,moderate rain
281,Reus,ES,41.1561,1.1069,69.12,51,0,5.75,clear sky
282,Shelburne,CA,44.0787,-80.2041,52.25,43,67,26.11,broken clouds
283,Moshenskoye,RU,58.5102,34.5911,34.21,93,100,7.47,light snow
284,Vallenar,CL,-28.5708,-70.7581,74.77,30,0,8.66,clear sky
285,Saint-Paul-Les-Dax,FR,43.7272,-1.0516,64.69,85,12,6.91,few clouds
286,Hambantota,LK,6.1241,81.1185,81.7,80,25,7.63,scattered clouds
287,Stephenville Crossing,CA,48.5,-58.4318,48.33,49,20,4.61,few clouds
288,Rio Grande,BR,-32.035,-52.0986,73.51,57,54,12.75,broken clouds
289,Blumenau,BR,-26.9194,-49.0661,79.59,42,0,1.99,clear sky
290,Mkokotoni,TZ,-5.8767,39.2547,79.2,84,100,9.24,overcast clouds
291,Mao,ES,39.8885,4.2658,59.56,72,0,8.05,clear sky
292,Araouane,ML,18.9048,-3.5265,93.97,8,3,9.66,clear sky
293,Gornesti,RO,46.6713,24.6476,62.62,39,79,4.41,broken clouds
294,Manaure,CO,11.7751,-72.4445,88.92,53,96,18.1,overcast clouds
295,Najran,SA,17.4924,44.1277,88.45,20,34,1.19,scattered clouds
296,Golyshmanovo,RU,56.3979,68.3728,58.57,53,100,12.57,overcast clouds
297,Bilma,NE,18.6853,12.9164,95.52,7,94,10.76,overcast clouds
298,Andijon,UZ,40.7821,72.3442,61.88,23,0,6.44,clear sky
299,Shambu,ET,9.5667,37.1,59.29,61,98,0.49,overcast clouds
300,Zhezkazgan,KZ,47.8043,67.7144,62.55,26,88,7.47,overcast clouds
301,Zaplavnoye,RU,48.7048,45.0229,49.87,67,73,2.28,broken clouds
302,Yabrud,SY,33.9674,36.6574,52.36,29,0,4.85,clear sky
303,Mamontovo,RU,52.7055,81.6244,49.66,44,0,8.08,clear sky
