City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Kings Point,US,84.16,scattered clouds,26.4454,-80.1398,National Corporate Housing
622,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
628,Acari,PE,77.81,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
629,Bonito,BR,79.43,clear sky,-21.1211,-56.4819,Marruá Hotel
630,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
632,Kalmunai,LK,79.86,clear sky,7.4167,81.8167,VS Villa
633,Odweyne,SO,85.68,overcast clouds,9.4092,45.064,Eng Hiirey House
637,Eufaula,US,82.85,clear sky,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
639,Kpandae,GH,82.94,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
645,Jacareacanga,BR,85.01,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
646,Koungou,YT,82.11,light rain,-12.7336,45.2042,Villa Netibor
653,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
657,Trinidad,BO,84.18,overcast clouds,-14.8333,-64.9,Hotel Piesta
662,Niteroi,BR,76.62,broken clouds,-22.8833,-43.1036,Hotel Viareggio
663,Maxixe,MZ,80.42,few clouds,-23.8597,35.3472,Oceano
665,Belem,BR,78.84,light rain,-1.4558,-48.5044,Mercure Belém Boulevard
668,Conceicao Da Barra,BR,75.04,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
672,Carupano,VE,83.79,overcast clouds,10.6678,-63.2585,Hotel La dorada
