City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Wangqing,43.3218,129.7634,40.64,16,3,15.84,CN,2022-04-06 04:08:19
116,East London,-33.0153,27.9116,64.33,69,48,10.04,ZA,2022-04-06 04:08:19
117,Walvis Bay,-22.9575,14.5053,56.08,80,1,8.34,NA,2022-04-06 04:08:20
118,Kaka,37.3482,59.6143,64.26,48,64,7.02,TM,2022-04-06 04:08:20
119,Taber,49.8167,-112.1518,41.04,49,97,10.67,CA,2022-04-06 04:08:21
120,San Patricio,28.017,-97.5169,75.88,75,62,7.65,US,2022-04-06 04:08:21
121,Airai,-8.9266,125.4092,75.97,53,32,3.58,TL,2022-04-06 04:08:22
122,Castro,-24.7911,-50.0119,63.57,97,61,6.44,BR,2022-04-06 04:08:22
123,Myitkyina,25.3833,97.4,80.35,58,76,3.69,MM,2022-04-06 04:08:23
124,Matara,5.9485,80.5353,85.26,64,41,1.61,LK,2022-04-06 04:08:23
125,Inirida,3.8653,-67.9239,73.76,96,100,2.57,CO,2022-04-06 04:08:24
126,Leh,34.1667,77.5833,34.59,46,0,2.24,IN,2022-04-06 04:08:24
127,Walla Walla,46.0646,-118.343,45.86,54,0,12.66,US,2022-04-06 04:07:43
128,Uribia,11.7139,-72.266,79.66,68,18,12.3,CO,2022-04-06 04:08:25
129,Bengkulu,-3.8004,102.2655,80.53,69,99,0.38,ID,2022-04-06 04:08:25
130,Mokrousovo,55.8103,66.7653,33.17,72,19,15.55,RU,2022-04-06 04:08:26
131,Esperance,-33.8667,121.9,68.92,57,78,10.49,AU,2022-04-06 04:08:26
132,Salekhard,66.53,66.6019,20.71,77,100,22.03,RU,2022-04-06 04:05:05
133,Constitucion,-35.3333,-72.4167,55.36,83,12,9.8,CL,2022-04-06 04:08:27
134,Mwinilunga,-11.7358,24.4293,60.08,96,94,2.33,ZM,2022-04-06 04:08:27
135,Arraial Do Cabo,-22.9661,-42.0278,76.32,88,4,10.29,BR,2022-04-06 04:08:28
136,Cumbum,9.7333,77.3,85.73,54,21,1.32,IN,2022-04-06 04:08:28
137,Werdohl,51.2667,7.7667,46.09,90,100,1.01,DE,2022-04-06 04:08:29
138,Champerico,14.3,-91.9167,82.69,69,12,3.94,GT,2022-04-06 04:08:59
139,Ust-Nera,64.5667,143.2,10.89,84,76,5.66,RU,2022-04-06 04:09:00
140,Ballina,-28.8667,153.5667,74.79,78,61,9.17,AU,2022-04-06 04:09:00
141,Lima,-12.0432,-77.0282,71.91,74,56,6.08,PE,2022-04-06 04:04:20
142,Ayan,56.45,138.1667,27.88,96,100,34.81,RU,2022-04-06 04:09:01
143,Mersing,2.4312,103.8405,86.92,62,69,4.83,MY,2022-04-06 04:09:02
144,Itaquyry,-24.9333,-55.2167,69.51,98,51,2.95,PY,2022-04-06 04:09:02
145,Portland,45.5234,-122.6762,49.93,61,20,5.75,US,2022-04-06 04:07:00
146,Souillac,-20.5167,57.5167,79.18,83,40,11.5,MU,2022-04-06 04:09:03
147,Bethel,41.3712,-73.414,47.77,82,100,4.61,US,2022-04-06 04:09:03
148,Deputatskiy,69.3,139.9,-2.07,88,83,3.4,RU,2022-04-06 04:09:04
149,Atuona,-9.8,-139.0333,79.32,73,7,22.68,PF,2022-04-06 04:09:04
150,Sao Filipe,14.8961,-24.4956,70.61,73,12,9.89,CV,2022-04-06 04:09:04
151,Kushiro,42.975,144.3747,45.77,72,24,19.91,JP,2022-04-06 04:05:12
152,Te Anau,-45.4167,167.7167,49.24,76,98,3.53,NZ,2022-04-06 04:09:05
153,Avarua,-21.2078,-159.775,84.25,79,20,6.91,CK,2022-04-06 04:09:06
154,Naberera,-4.2,36.9333,62.44,93,45,4.47,TZ,2022-04-06 04:09:06
155,Kassala,15.451,36.4,83.07,35,0,9.35,SD,2022-04-06 04:09:07
156,Honiara,-9.4333,159.95,79.39,90,100,7.07,SB,2022-04-06 04:05:54
157,Karachi,24.9056,67.0822,82.22,61,19,9.22,PK,2022-04-06 04:07:10
158,Saint-Philippe,-21.3585,55.7679,78.39,88,98,12.93,RE,2022-04-06 04:09:08
159,Puerto Ayacucho,5.6639,-67.6236,74.44,93,100,4.7,VE,2022-04-06 04:09:08
160,Chuy,-33.6971,-53.4616,54.91,76,0,6.2,UY,2022-04-06 04:09:08
161,Kahului,20.8947,-156.47,78.82,70,40,13.8,US,2022-04-06 04:09:09
162,Marsh Harbour,26.5412,-77.0636,76.42,86,24,14.27,BS,2022-04-06 04:05:31
163,Taikang,46.8333,124.4167,37.22,19,6,17.11,CN,2022-04-06 04:09:10
164,Khatanga,71.9667,102.5,7.74,85,12,14.34,RU,2022-04-06 04:09:10
165,Port Augusta,-32.5,137.7667,79.52,32,3,13.35,AU,2022-04-06 04:09:11
166,Antipino,57.1068,65.7576,34.09,78,29,13.11,RU,2022-04-06 04:09:11
167,Tautira,-17.7333,-149.15,82.63,79,29,22.57,PF,2022-04-06 04:09:12
168,Hirado,33.3597,129.5531,58.48,51,100,9.64,JP,2022-04-06 04:09:13
169,Kavaratti,10.5669,72.642,83.37,73,49,6.35,IN,2022-04-06 04:09:13
